order_id	member_id	order_date	status	total_amount
1	1	2024-01-02	paid	4460.00
2	1001	2024-01-03	paid	3810.00
3	1001	2024-01-04	paid	3530.00
4	1001	2024-01-05	paid	3620.00
5	10001	2024-01-06	paid	5930.00
6	10001	2024-01-07	paid	8660.00
7	10001	2024-01-08	paid	7310.00
8	10001	2024-01-09	paid	6330.00
9	10001	2024-01-10	paid	5720.00
10	2	2024-01-11	paid	9080.00
11	2	2024-01-12	paid	12860.00
12	1002	2024-01-13	paid	10810.00
13	1002	2024-01-14	paid	9130.00
14	1002	2024-01-15	paid	7820.00
15	10002	2024-01-16	paid	12230.00
16	10002	2024-01-17	paid	17060.00
17	10002	2024-01-18	paid	14310.00
18	10002	2024-01-19	paid	11930.00
19	10002	2024-01-20	paid	9920.00
20	3	2024-01-21	cancelled	15380.00
21	3	2024-01-22	paid	21260.00
22	1003	2024-01-23	paid	17810.00
23	1003	2024-01-24	paid	10730.00
24	1003	2024-01-25	paid	6020.00
25	10003	2024-01-26	paid	4530.00
26	10003	2024-01-27	paid	7460.00
27	10003	2024-01-28	paid	1310.00
28	10003	2024-01-29	paid	1530.00
29	10003	2024-01-30	paid	2120.00
30	4	2024-01-31	paid	3680.00
31	4	2024-02-01	paid	5660.00
32	1004	2024-02-02	paid	4810.00
33	1004	2024-02-03	paid	4330.00
34	1004	2024-02-04	paid	4220.00
35	10004	2024-02-05	paid	6830.00
36	10004	2024-02-06	paid	9860.00
37	10004	2024-02-07	paid	8310.00
38	10004	2024-02-08	paid	7130.00
39	10004	2024-02-09	paid	6320.00
40	5	2024-02-10	cancelled	9980.00
41	5	2024-02-11	paid	14060.00
42	1005	2024-02-12	paid	11810.00
43	1005	2024-02-13	paid	9930.00
44	1005	2024-02-14	paid	8420.00
45	10005	2024-02-15	paid	13130.00
46	10005	2024-02-16	paid	18260.00
47	10005	2024-02-17	paid	15310.00
48	10005	2024-02-18	paid	12730.00
49	10005	2024-02-19	paid	10520.00
50	6	2024-02-20	paid	16280.00
51	6	2024-02-21	paid	22460.00
52	1006	2024-02-22	paid	16810.00
53	1006	2024-02-23	paid	11530.00
54	1006	2024-02-24	paid	2620.00
55	10006	2024-02-25	paid	5430.00
56	10006	2024-02-26	paid	2660.00
57	10006	2024-02-27	paid	2310.00
58	10006	2024-02-28	paid	2330.00
59	10006	2024-02-29	paid	2720.00
60	7	2024-03-01	cancelled	4580.00
61	7	2024-03-02	paid	6860.00
62	1007	2024-03-03	paid	5810.00
63	1007	2024-03-04	paid	5130.00
64	1007	2024-03-05	paid	4820.00
65	10007	2024-03-06	paid	7730.00
66	10007	2024-03-07	paid	11060.00
67	10007	2024-03-08	paid	9310.00
68	10007	2024-03-09	paid	7930.00
69	10007	2024-03-10	paid	6920.00
70	8	2024-03-11	paid	10880.00
71	8	2024-03-12	paid	15260.00
72	1008	2024-03-13	paid	12810.00
73	1008	2024-03-14	paid	10730.00
74	1008	2024-03-15	paid	9020.00
75	10008	2024-03-16	paid	14030.00
76	10008	2024-03-17	paid	19460.00
77	10008	2024-03-18	paid	16310.00
78	10008	2024-03-19	paid	13530.00
79	10008	2024-03-20	paid	11120.00
80	9	2024-03-21	cancelled	9180.00
81	9	2024-03-22	paid	13660.00
82	1009	2024-03-23	paid	7810.00
83	1009	2024-03-24	paid	10330.00
84	1009	2024-03-25	paid	1220.00
85	10009	2024-03-26	paid	2330.00
86	10009	2024-03-27	paid	3860.00
87	10009	2024-03-28	paid	3310.00
88	10009	2024-03-29	paid	3130.00
89	10009	2024-03-30	paid	3320.00
90	10	2024-03-31	paid	5480.00
91	10	2024-04-01	paid	8060.00
92	1010	2024-04-02	paid	6810.00
93	1010	2024-04-03	paid	5930.00
94	1010	2024-04-04	paid	5420.00
95	10010	2024-04-05	paid	8630.00
96	10010	2024-04-06	paid	12260.00
97	10010	2024-04-07	paid	10310.00
98	10010	2024-04-08	paid	8730.00
99	10010	2024-04-09	paid	7520.00
1000	101	2026-09-27	cancelled	2780.00
1001	101	2026-09-28	paid	4460.00
1002	1101	2026-09-29	paid	3810.00
1003	1101	2026-09-30	paid	3530.00
1004	1101	2026-10-01	paid	3620.00
1005	10101	2026-10-02	paid	5930.00
1006	10101	2026-10-03	paid	8660.00
1007	10101	2026-10-04	paid	7310.00
1008	10101	2026-10-05	paid	6330.00
1009	10101	2026-10-06	paid	5720.00
1010	102	2026-10-07	paid	9080.00
1011	102	2026-10-08	paid	12860.00
1012	1102	2026-10-09	paid	10810.00
1013	1102	2026-10-10	paid	9130.00
1014	1102	2026-10-11	paid	7820.00
1015	10102	2026-10-12	paid	12230.00
1016	10102	2026-10-13	paid	17060.00
1017	10102	2026-10-14	paid	14310.00
1018	10102	2026-10-15	paid	11930.00
1019	10102	2026-10-16	paid	9920.00
1020	103	2026-10-17	cancelled	15380.00
1021	103	2026-10-18	paid	21260.00
1022	1103	2026-10-19	paid	17810.00
1023	1103	2026-10-20	paid	10730.00
1024	1103	2026-10-21	paid	6020.00
1025	10103	2026-10-22	paid	4530.00
1026	10103	2026-10-23	paid	7460.00
1027	10103	2026-10-24	paid	1310.00
1028	10103	2026-10-25	paid	1530.00
1029	10103	2026-10-26	paid	2120.00
1030	104	2026-10-27	paid	3680.00
1031	104	2026-10-28	paid	5660.00
1032	1104	2026-10-29	paid	4810.00
1033	1104	2026-10-30	paid	4330.00
1034	1104	2026-10-31	paid	4220.00
1035	10104	2026-11-01	paid	6830.00
1036	10104	2026-11-02	paid	9860.00
1037	10104	2026-11-03	paid	8310.00
1038	10104	2026-11-04	paid	7130.00
1039	10104	2026-11-05	paid	6320.00
1040	105	2026-11-06	cancelled	9980.00
1041	105	2026-11-07	paid	14060.00
1042	1105	2026-11-08	paid	11810.00
1043	1105	2026-11-09	paid	9930.00
1044	1105	2026-11-10	paid	8420.00
1045	10105	2026-11-11	paid	13130.00
1046	10105	2026-11-12	paid	18260.00
1047	10105	2026-11-13	paid	15310.00
1048	10105	2026-11-14	paid	12730.00
1049	10105	2026-11-15	paid	10520.00
1050	106	2026-11-16	paid	16280.00
1051	106	2026-11-17	paid	22460.00
1052	1106	2026-11-18	paid	16810.00
1053	1106	2026-11-19	paid	11530.00
1054	1106	2026-11-20	paid	2620.00
1055	10106	2026-11-21	paid	5430.00
1056	10106	2026-11-22	paid	2660.00
1057	10106	2026-11-23	paid	2310.00
1058	10106	2026-11-24	paid	2330.00
1059	10106	2026-11-25	paid	2720.00
1060	107	2026-11-26	cancelled	4580.00
1061	107	2026-11-27	paid	6860.00
1062	1107	2026-11-28	paid	5810.00
1063	1107	2026-11-29	paid	5130.00
1064	1107	2026-11-30	paid	4820.00
1065	10107	2026-12-01	paid	7730.00
1066	10107	2026-12-02	paid	11060.00
1067	10107	2026-12-03	paid	9310.00
1068	10107	2026-12-04	paid	7930.00
1069	10107	2026-12-05	paid	6920.00
1070	108	2026-12-06	paid	10880.00
1071	108	2026-12-07	paid	15260.00
1072	1108	2026-12-08	paid	12810.00
1073	1108	2026-12-09	paid	10730.00
1074	1108	2026-12-10	paid	9020.00
1075	10108	2026-12-11	paid	14030.00
1076	10108	2026-12-12	paid	19460.00
1077	10108	2026-12-13	paid	16310.00
1078	10108	2026-12-14	paid	13530.00
1079	10108	2026-12-15	paid	11120.00
1080	109	2026-12-16	cancelled	9180.00
1081	109	2026-12-17	paid	13660.00
1082	1109	2026-12-18	paid	7810.00
1083	1109	2026-12-19	paid	10330.00
1084	1109	2026-12-20	paid	1220.00
1085	10109	2026-12-21	paid	2330.00
1086	10109	2026-12-22	paid	3860.00
1087	10109	2026-12-23	paid	3310.00
1088	10109	2026-12-24	paid	3130.00
1089	10109	2026-12-25	paid	3320.00
1090	110	2026-12-26	paid	5480.00
1091	110	2026-12-27	paid	8060.00
1092	1110	2026-12-28	paid	6810.00
1093	1110	2026-12-29	paid	5930.00
1094	1110	2026-12-30	paid	5420.00
1095	10110	2026-12-31	paid	8630.00
1096	10110	2024-01-01	paid	12260.00
1097	10110	2024-01-02	paid	10310.00
1098	10110	2024-01-03	paid	8730.00
1099	10110	2024-01-04	paid	7520.00
2000	201	2026-06-23	cancelled	11690.00
2001	201	2026-06-24	paid	16340.00
2002	1201	2026-06-25	paid	13710.00
2003	1201	2026-06-26	paid	11450.00
2004	1201	2026-06-27	paid	9560.00
2005	10201	2026-06-28	paid	14840.00
2006	10201	2026-06-29	paid	20540.00
2007	10201	2026-06-30	paid	17210.00
2008	10201	2026-07-01	paid	14250.00
2009	10201	2026-07-02	paid	5660.00
2010	202	2026-07-03	paid	9990.00
2011	202	2026-07-04	paid	6740.00
2012	1202	2026-07-05	paid	8710.00
2013	1202	2026-07-06	paid	1050.00
2014	1202	2026-07-07	paid	1760.00
2015	10202	2026-07-08	paid	3140.00
2016	10202	2026-07-09	paid	4940.00
2017	10202	2026-07-10	paid	4210.00
2018	10202	2026-07-11	paid	3850.00
2019	10202	2026-07-12	paid	3860.00
2020	203	2026-07-13	cancelled	6290.00
2021	203	2026-07-14	paid	9140.00
2022	1203	2026-07-15	paid	7710.00
2023	1203	2026-07-16	paid	6650.00
2024	1203	2026-07-17	paid	5960.00
2025	10203	2026-07-18	paid	9440.00
2026	10203	2026-07-19	paid	13340.00
2027	10203	2026-07-20	paid	11210.00
2028	10203	2026-07-21	paid	9450.00
2029	10203	2026-07-22	paid	8060.00
2030	204	2026-07-23	paid	12590.00
2031	204	2026-07-24	paid	17540.00
2032	1204	2026-07-25	paid	14710.00
2033	1204	2026-07-26	paid	12250.00
2034	1204	2026-07-27	paid	10160.00
2035	10204	2026-07-28	paid	15740.00
2036	10204	2026-07-29	paid	21740.00
2037	10204	2026-07-30	paid	18210.00
2038	10204	2026-07-31	paid	11050.00
2039	10204	2026-08-01	paid	6260.00
2040	205	2026-08-02	cancelled	4890.00
2041	205	2026-08-03	paid	1940.00
2042	1205	2026-08-04	paid	1710.00
2043	1205	2026-08-05	paid	1850.00
2044	1205	2026-08-06	paid	2360.00
2045	10205	2026-08-07	paid	4040.00
2046	10205	2026-08-08	paid	6140.00
2047	10205	2026-08-09	paid	5210.00
2048	10205	2026-08-10	paid	4650.00
2049	10205	2026-08-11	paid	4460.00
2050	206	2026-08-12	paid	7190.00
2051	206	2026-08-13	paid	10340.00
2052	1206	2026-08-14	paid	8710.00
2053	1206	2026-08-15	paid	7450.00
2054	1206	2026-08-16	paid	6560.00
2055	10206	2026-08-17	paid	10340.00
2056	10206	2026-08-18	paid	14540.00
2057	10206	2026-08-19	paid	12210.00
2058	10206	2026-08-20	paid	10250.00
2059	10206	2026-08-21	paid	8660.00
2060	207	2026-08-22	cancelled	13490.00
2061	207	2026-08-23	paid	18740.00
2062	1207	2026-08-24	paid	15710.00
2063	1207	2026-08-25	paid	13050.00
2064	1207	2026-08-26	paid	10760.00
2065	10207	2026-08-27	paid	16640.00
2066	10207	2026-08-28	paid	12940.00
2067	10207	2026-08-29	paid	17210.00
2068	10207	2026-08-30	paid	9850.00
2069	10207	2026-08-31	paid	2860.00
2070	208	2026-09-01	paid	1790.00
2071	208	2026-09-02	paid	3140.00
2072	1208	2026-09-03	paid	2710.00
2073	1208	2026-09-04	paid	2650.00
2074	1208	2026-09-05	paid	2960.00
2075	10208	2026-09-06	paid	4940.00
2076	10208	2026-09-07	paid	7340.00
2077	10208	2026-09-08	paid	6210.00
2078	10208	2026-09-09	paid	5450.00
2079	10208	2026-09-10	paid	5060.00
2080	209	2026-09-11	cancelled	8090.00
2081	209	2026-09-12	paid	11540.00
2082	1209	2026-09-13	paid	9710.00
2083	1209	2026-09-14	paid	8250.00
2084	1209	2026-09-15	paid	7160.00
2085	10209	2026-09-16	paid	11240.00
2086	10209	2026-09-17	paid	15740.00
2087	10209	2026-09-18	paid	13210.00
2088	10209	2026-09-19	paid	11050.00
2089	10209	2026-09-20	paid	9260.00
2090	210	2026-09-21	paid	14390.00
2091	210	2026-09-22	paid	19940.00
2092	1210	2026-09-23	paid	16710.00
2093	1210	2026-09-24	paid	13850.00
2094	1210	2026-09-25	paid	11360.00
